user_id,game_type,level,accuracy,response_time,mistakes,score
U001,memory,1,90,12,1,88
U001,memory,2,85,15,2,82
U001,memory,3,70,20,4,68
U001,attention,1,92,10,1,90
U001,attention,2,80,14,2,78
U001,pattern,1,88,13,2,84
U001,recall,1,75,18,3,72
U002,memory,1,95,9,0,95
U002,memory,2,88,13,1,86
U002,attention,1,90,11,1,89
U002,pattern,1,94,10,0,94
U002,recall,1,85,14,1,83
U003,memory,1,60,25,5,58
U003,memory,2,65,23,4,62
U003,attention,1,70,20,3,68
U003,pattern,1,55,28,6,52
U003,recall,1,62,26,5,59
U004,memory,1,78,17,2,75
U004,attention,1,82,15,2,79
U004,pattern,1,75,18,3,71
U004,recall,1,80,16,2,77
U005,memory,1,45,30,7,42
U005,attention,1,55,27,6,51
U005,pattern,1,65,22,4,61
U005,recall,1,50,29,6,47
