user_id,game_type,level,accuracy,response_time,mistakes,score,recommended_difficulty
U001,memory,1,87,15.43,3,83.27,hard
U001,attention,3,46,26.27,8,46.32,easy
U001,memory,3,67,8.86,1,73.24,medium
U001,attention,1,72,24.25,8,65.12,medium
U001,attention,3,81,26.94,6,72.62,medium
U001,attention,2,77,15.51,0,79.25,medium
U001,attention,3,67,17.19,2,69.74,medium
U001,attention,2,46,10.5,1,58.05,easy
U001,pattern,2,78,15.14,0,80.06,hard
U001,recall,3,47,34.27,6,46.62,easy
U002,memory,3,58,30.39,5,56.48,easy
U002,attention,3,44,9.24,3,55.03,easy
U002,pattern,1,94,14.29,1,90.51,hard
U002,recall,2,69,25.16,5,65.75,medium
U002,attention,2,62,13.66,4,65.3,medium
U002,memory,3,80,12.62,3,79.21,medium
U002,attention,2,64,15.29,8,62.21,medium
U002,attention,3,60,30.76,0,62.77,medium
U002,attention,1,91,16.52,4,84.74,hard
U002,memory,1,98,33.46,5,83.56,hard
U003,attention,3,71,18.68,7,67.1,medium
U003,attention,2,48,14.66,8,51.2,easy
U003,pattern,3,77,19.57,6,72.03,medium
U003,pattern,1,48,21.76,1,56.07,easy
U003,memory,1,49,24.94,6,50.82,easy
U003,memory,2,64,24.09,7,60.57,medium
U003,pattern,3,95,33.45,1,85.47,hard
U003,pattern,3,61,11.01,6,63.4,medium
U003,attention,2,40,33.75,4,43.88,easy
U003,attention,3,98,10.87,4,91.34,hard
U004,attention,1,63,28.59,8,57.52,easy
U004,memory,3,60,21.19,1,64.64,medium
U004,pattern,2,55,9.56,1,64.63,medium
U004,memory,3,71,30.03,8,62.69,medium
U004,attention,1,82,20.83,8,73.15,medium
U004,attention,2,73,31.56,6,65.63,medium
U004,attention,3,88,27.71,3,80.29,hard
U004,pattern,2,82,25.55,7,72.73,medium
U004,recall,1,55,14.07,5,59.28,easy
U004,memory,3,75,14.21,3,75.24,medium
U005,memory,1,85,25.04,3,78.99,medium
U005,memory,1,95,16.92,8,83.42,hard
U005,attention,2,82,21.11,8,73.07,medium
U005,attention,3,96,23.42,7,83.17,hard
U005,attention,2,91,18.99,1,87.0,hard
U005,memory,3,67,17.57,6,65.63,medium
U005,recall,3,43,26.18,1,51.25,easy
U005,memory,2,86,17.16,1,84.05,hard
U005,attention,1,52,22.48,2,57.66,easy
U005,recall,1,57,20.49,1,62.75,medium
U006,recall,3,46,9.37,8,51.39,easy
U006,memory,1,88,30.91,2,80.33,hard
U006,recall,2,70,13.77,6,68.87,medium
U006,memory,1,64,8.06,6,66.38,medium
U006,pattern,2,58,19.42,8,56.77,easy
U006,recall,1,52,16.01,0,61.6,medium
U006,memory,3,60,9.54,7,62.14,medium
U006,attention,1,72,10.16,2,75.35,medium
U006,memory,3,44,26.23,3,49.93,easy
U006,recall,1,96,23.38,0,90.19,hard
U007,memory,2,82,23.76,8,72.27,medium
U007,pattern,2,53,26.08,5,54.28,easy
U007,attention,2,65,11.53,4,68.04,medium
U007,recall,2,88,33.26,0,81.62,hard
U007,recall,3,76,34.89,1,71.73,medium
U007,attention,3,56,11.58,5,60.73,medium
U007,memory,1,63,15.69,7,62.39,medium
U007,pattern,3,91,25.66,0,86.0,hard
U007,pattern,3,46,33.35,2,50.19,easy
U007,pattern,1,96,10.89,8,85.93,hard
U008,attention,2,58,24.33,5,58.3,easy
U008,attention,3,80,31.03,8,68.69,medium
U008,recall,2,97,32.52,0,88.14,hard
U008,memory,3,67,30.39,0,67.78,medium
U008,memory,2,89,11.53,4,84.84,hard
U008,attention,3,68,22.9,6,64.73,medium
U008,memory,1,44,33.52,2,48.74,easy
U008,memory,2,77,22.92,6,71.02,medium
U008,attention,1,59,17.85,0,65.94,medium
U008,pattern,1,83,14.74,1,82.68,hard
U009,pattern,3,96,31.62,2,85.71,hard
U009,attention,1,91,29.89,6,78.73,medium
